county,livestock,population,productivity
Nyeri,Pigs,907,1.1
Nyeri,Donkeys,315,1.24
Nyeri,Camels,653,1.39
Nyeri,Rabbits,880,1.22
Nyeri,Ducks,366,1.2
Nyeri,Turkeys,2001,1.32
Kakamega,Indigenous cattle,10387,0.91
Kakamega,Exotic cattle,359,0.67
Kakamega,Goats,4092,1.11
Kakamega,Sheep,1675,0.86
Kakamega,Indigenous Chicken,11394,0.67
Kakamega,Exotic Chicken,1307,1.04
Kakamega,Pigs,170,0.71
Kakamega,Donkeys,444,0.68
Kakamega,Camels,105,0.67
Kakamega,Rabbits,987,0.9
Kakamega,Ducks,334,1.22
Kakamega,Turkeys,338,1.33
Kisii,Indigenous cattle,1415,0.65
Kisii,Exotic cattle,254,1.12
Kisii,Goats,4445,0.83
Kisii,Sheep,2106,1.37
Kisii,Indigenous Chicken,1838,0.66
Kisii,Exotic Chicken,2025,1.02
Kisii,Pigs,16702,1.07
Kisii,Donkeys,127,0.82
Kisii,Camels,28689,0.82
Kisii,Rabbits,71,0.88
Kisii,Ducks,502,0.85
Kisii,Turkeys,13421,0.73
Machakos,Indigenous cattle,1494,1.35
Machakos,Exotic cattle,6615,0.62
Machakos,Goats,470,1.38
Machakos,Sheep,9841,0.97
Machakos,Indigenous Chicken,2332,1.22
Machakos,Exotic Chicken,2956,0.8
Machakos,Pigs,324,0.78
Machakos,Donkeys,1407,0.89
Machakos,Camels,2387,1.02
Machakos,Rabbits,882,1.05
Machakos,Ducks,1718,1.16
Machakos,Turkeys,1324,0.61
Kitui,Indigenous cattle,703,1.32
Kitui,Exotic cattle,129,1.23
Kitui,Goats,421,0.97
Kitui,Sheep,2024,0.86
Kitui,Indigenous Chicken,4716,0.75
Kitui,Exotic Chicken,531,0.98
Kitui,Pigs,175,0.74
Kitui,Donkeys,34,0.97
Kitui,Camels,4322,0.63
Kitui,Rabbits,795,0.67
Kitui,Ducks,864,1.24
Kitui,Turkeys,311,0.77
Embu,Indigenous cattle,442,0.97
Embu,Exotic cattle,3626,0.8
Embu,Goats,253113,0.69
Embu,Sheep,3679,0.79
Embu,Indigenous Chicken,912,0.7
Embu,Exotic Chicken,737,1.14
Embu,Pigs,742,1.07
Embu,Donkeys,161,0.7
Embu,Camels,1092,0.88
Embu,Rabbits,15464,0.79
Embu,Ducks,46,0.75
Embu,Turkeys,102,1.32
Murang'a,Indigenous cattle,1843,0.69
Murang'a,Exotic cattle,1496,1.29
Murang'a,Goats,6960,1.34
Murang'a,Sheep,551,0.82
Murang'a,Indigenous Chicken,1317,1.01
Murang'a,Exotic Chicken,78,1.09
Murang'a,Pigs,312,1.03
Murang'a,Donkeys,21,0.71
Murang'a,Camels,1108,0.8
Murang'a,Rabbits,312,1.08
Murang'a,Ducks,963,1.26
Murang'a,Turkeys,360,1.18
Kirinyaga,Indigenous cattle,4270,1.06
Kirinyaga,Exotic cattle,1039,1.24
Kirinyaga,Goats,2041,1.13
Kirinyaga,Sheep,735,1.3
Kirinyaga,Indigenous Chicken,328,0.97
Kirinyaga,Exotic Chicken,405,1.0
Kirinyaga,Pigs,1361,1.33
Kirinyaga,Donkeys,12,1.35
Kirinyaga,Camels,765,1.1
Kirinyaga,Rabbits,364,1.23
Kirinyaga,Ducks,634,0.63
Kirinyaga,Turkeys,178,1.3
Nyandarua,Indigenous cattle,2511,1.24
Nyandarua,Exotic cattle,166,1.18
Nyandarua,Goats,8514,0.8
Nyandarua,Sheep,4334,1.33
Nyandarua,Indigenous Chicken,7607,0.72
Nyandarua,Exotic Chicken,1352,1.09
Nyandarua,Pigs,215,1.16
Nyandarua,Donkeys,2702,0.72
Nyandarua,Camels,6234,1.35
Nyandarua,Rabbits,333,0.69
Nyandarua,Ducks,1159,1.07
Nyandarua,Turkeys,1130,0.87
Laikipia,Indigenous cattle,743,1.03
Laikipia,Exotic cattle,330,0.88
Laikipia,Goats,3229,0.71
Laikipia,Sheep,146,0.94
Laikipia,Indigenous Chicken,43858,0.61
Laikipia,Exotic Chicken,3275,1.37
Laikipia,Pigs,9680,0.65
Laikipia,Donkeys,492,1.32
Laikipia,Camels,172,1.05
Laikipia,Rabbits,93,0.96
Laikipia,Ducks,2931,0.72
Laikipia,Turkeys,14,1.36
Kericho,Indigenous cattle,566,0.62
Kericho,Exotic cattle,4348,1.13
Kericho,Goats,1770,0.62
Kericho,Sheep,219,0.74
Kericho,Indigenous Chicken,2324,1.18
Kericho,Exotic Chicken,1759,0.92
Kericho,Pigs,994,0.61
Kericho,Donkeys,79,0.62
Kericho,Camels,1063,1.25
Kericho,Rabbits,204,0.9
Kericho,Ducks,59,1.04
Kericho,Turkeys,4641,1.36
Bomet,Indigenous cattle,2914,1.32
Bomet,Exotic cattle,5075,0.62
Bomet,Goats,466,0.71
Bomet,Sheep,5885,1.02
Bomet,Indigenous Chicken,1723,0.82
Bomet,Exotic Chicken,589,1.26
Bomet,Pigs,197,1.08
Bomet,Donkeys,1702,1.33
Bomet,Camels,141,0.73
Bomet,Rabbits,380,1.08
Bomet,Ducks,64,1.18
Bomet,Turkeys,45,0.98
Narok,Indigenous cattle,2183,0.62
Narok,Exotic cattle,1804,0.64
Narok,Goats,14852,0.69
Narok,Sheep,285,1.0
Narok,Indigenous Chicken,9579,1.24
Narok,Exotic Chicken,714,1.07
Narok,Pigs,195,0.75
Narok,Donkeys,1716,1.19
Narok,Camels,2729,0.8
Narok,Rabbits,655,1.39
Narok,Ducks,789,0.74
Narok,Turkeys,986,0.63
